Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
CJ McCollum,,7.6,6.6,6,5.6,1.8,0.2
John Starks,95.7,7.5,6.4,6.2,5.8,2.4,0
Jeff Teague,94.2,7.7,6.1,6,5.2,1.7,0.6
Danny Ainge,92.0,6.8,6.7,6.6,5.2,1.8,0.5
George Thompson,90.8,7.7,6.7,6.5,5.6,2.7,1.8
Andrew Toney,87.4,7.3,6.4,5.5,4,2.2,-0.2
Clem Haskins,87.3,6.8,6.4,6.1,5.3,2.9,1.6
Josh Childress,87.0,7.6,5.7,5.5,4.6,1.4,0.9
Ralph Simpson,86.3,7.2,7.2,6.3,4.2,2.3,1.1
Michael Adams,86.0,8.3,7.5,6.9,6.3,2.7,-0.1
Don Chaney,85.5,8.7,6.3,5.9,5.8,-0.1,-0.5
