Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Paul George,,11.9,10.8,9.2,9,8.9,7.1,6,2.4,0,NA,NA,NA,NA
Roger Brown,91.6,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA,NA,NA,NA,NA
Jimmy Butler,91.4,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1,NA,NA,NA,NA,NA
George Yardley,88.9,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA,NA,NA,NA,NA
Blake Griffin,88.1,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8,NA,NA,NA,NA
Rudy Tomjanovich,86.8,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1,NA,NA
George McGinnis,86.7,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,NA,NA
Kawhi Leonard,85.8,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9,NA,NA,NA,NA,NA
Calvin Natt,85.2,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0,NA,NA
Kiki Vandeweghe,85.0,11,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2,1.2,1.1,0.8
Anthony Davis,83.3,14,13.7,11,10.4,9.5,7.2,6.1,NA,NA,NA,NA,NA,NA
