Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Paul George,,11.9,10.8,9.2,9,8.9,7.1,6,2.4,0
Lou Hudson,92.4,11.1,10.1,9.7,9.3,8.8,7.9,4.9,2.2,0.8
Roger Brown,91.6,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA
Jimmy Butler,91.4,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1,NA
Rudy Tomjanovich,90.7,12.8,10.4,10.1,8.4,7.3,6.9,6.2,1.7,1
Billy Cunningham,89.9,11.9,10.3,10,9,8.3,6.8,6.4,5,3.5
Chris Webber,89.9,11,10.7,9.3,8.6,8.3,7.8,4,3.6,1.9
Glen Rice,89.5,10.8,10.2,10,9.3,8.3,7.9,6.3,4.4,1.4
Kiki Vandeweghe,89.5,11,10.8,10.3,9.9,8.4,7.7,3.8,2,1.2
Cliff Hagan,89.1,11.8,11.7,10.8,10,8.5,6.5,6,4.7,1.3
George Yardley,88.9,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA
