Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Hassan Whiteside,,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA
Steven Adams,85.3,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA
Jeff Ruland,84.5,10.1,9.3,7.8,3.5,3.3,0.3,0,0,NA
Steve Stipanovich,81.2,9,6.9,5.9,5,3.6,NA,NA,NA,NA
Clint Capela,79.2,10.8,10.2,5.9,4.4,0,NA,NA,NA,NA
Andrew Bynum,76.1,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA
George Ratkovicz,75.7,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA
Enes Kanter,73.7,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA
Stan Miasek,73.5,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA
Ray Felix,73.2,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8
Elmore Smith,71.4,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA
