Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Hassan Whiteside,,10.3,9.5,6.3,5.3,5.3,0.2,0
Steven Adams,85.3,9.7,9.1,6.5,6.5,4.1,2.9,NA
Jeff Ruland,84.5,10.1,9.3,7.8,3.5,3.3,0.3,0
DeAndre Jordan,83.1,12.8,11.1,6.2,5.6,5.2,1.5,1.3
Steve Stipanovich,81.2,9,6.9,5.9,5,3.6,NA,NA
Tyson Chandler,81.0,10,8.3,7.9,5.4,3.9,1.9,1.8
Brook Lopez,80.7,9,7.9,7,6.3,5.8,2.3,0.3
Ray Felix,80.3,8.6,7.2,5.8,5.5,5.5,2,0.8
Al Horford,79.5,10.9,10.1,8.8,6.8,5.5,2.8,1.3
Clint Capela,79.2,10.8,10.2,5.9,4.4,0,NA,NA
Zydrunas Ilgauskas,78.9,9.4,8.1,7.8,5,2.5,0.7,0.5
