Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,KEN,ABA,C,1,NA,34:00,8,15,0.533,0,0,NA,5,8,0.625,6,11,0,NA,NA,5,2,21
1971-72,23,KEN,ABA,PF,1,NA,23:00,9,13,0.692,0,0,NA,3,4,0.75,4,9,5,NA,NA,2,2,21
1972-73,24,KEN,ABA,PF,1,NA,29:00,6,14,0.429,0,0,NA,2,2,1,3,7,4,0,0,0,0,14
1973-74,25,KEN,ABA,PF,1,NA,26:00,10,15,0.667,0,0,NA,1,1,1,2,4,1,1,1,1,1,21
1974-75,26,KEN,ABA,PF,1,NA,20:00,3,6,0.5,0,0,NA,1,2,0.5,2,7,1,0,0,2,4,7
1975-76,27,DNA,ABA,C,1,NA,31:00,6,16,0.375,0,0,NA,7,9,0.778,NA,9,5,NA,NA,NA,3,19
1976-77,28,DEN,NBA,C,1,1,10:00,0,3,0,NA,NA,NA,0,0,NA,1,1,0,0,0,NA,0,0
Career,NA,,TOT,,7,1,173,42,82,0.512,0,0,NA,19,26,0.731,18,48,16,1,1,10,12,103
,NA,,ABA,,6,NA,163,42,79,0.532,0,0,NA,19,26,0.731,17,47,16,1,1,10,12,103
,NA,,NBA,,1,1,10,0,3,0,NA,NA,NA,0,0,NA,1,1,0,0,0,NA,0,0
