Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Antonio Lang,,0.8,0.7,0.1,0.1,0,-0.1
Timothé Luwawu-Cabarrot,82.7,0.8,0.8,0.2,NA,NA,NA
Mark Hendrickson,77.4,0.9,0.8,0.3,0.1,NA,NA
James Wilkes,70.1,1.1,0.8,0.1,NA,NA,NA
Shavlik Randolph,68.9,1.1,0.7,0.4,0,0,0
Ronald Dupree,68.0,1,0.5,0.3,0.1,0,0
Bill Curley,67.2,0.7,0.5,0.2,0.2,0,NA
Dontonio Wingfield,66.6,0.9,0.9,0,-0.1,NA,NA
Jackie Moore,66.4,0.9,0.5,NA,NA,NA,NA
Jerrod Mustaf,65.5,0.8,0.5,0.4,0,NA,NA
Jay Miller,64.8,0.9,0.7,0.1,-0.3,NA,NA
