Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1962-63,22,STL,NBA,PG,42,NA,435,5.5,14.4,0.379,1.8,3.2,0.564,3.2,6.9,3.5,12.7
1963-64,23,TOT,NBA,PG,48,NA,662,5.1,12.5,0.41,2.4,3.5,0.677,3.3,4.3,2.6,12.6
1963-64,23,STL,NBA,PG,2,NA,6,6,18,0.333,0,6,0,6,0,0,12
1963-64,23,NYK,NBA,PG,4,NA,50,3.6,13.7,0.263,4.3,5.8,0.75,4.3,3.6,0,11.5
1963-64,23,DET,NBA,PG,42,NA,606,5.2,12.3,0.425,2.3,3.3,0.679,3.2,4.4,2.9,12.7
1964-65,24,DET,NBA,PG,4,NA,26,5.5,15.2,0.364,8.3,9.7,0.857,5.5,6.9,5.5,19.4
Career,NA,,NBA,,94,NA,1123,5.3,13.3,0.396,2.3,3.6,0.649,3.3,5.4,3,12.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,46,NA,632,5.2,12.4,0.422,2.5,3.6,0.698,3.3,4.5,3,13
2 seasons,NA,STL,NBA,,44,NA,441,5.5,14.4,0.379,1.8,3.3,0.55,3.3,6.8,3.4,12.7
1 season,NA,NYK,NBA,,4,NA,50,3.6,13.7,0.263,4.3,5.8,0.75,4.3,3.6,0,11.5
