Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Rick Robey,,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6
Dan Gadzuric,85.4,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1
Dewayne Dedmon,83.9,5.2,4,3.7,2.4,1.7,0.6,NA,NA
Chris Kaman,82.1,6.1,3.6,2.9,2.4,2.1,0.8,0.6,0
Zaid Abdul-Aziz,80.4,6.5,3.7,2,1.9,1.8,1,0.6,-0.3
Blair Rasmussen,80.0,5.2,4.2,3.3,3,1.8,1.7,0,-0.1
Oliver Miller,78.4,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0
Randy Breuer,78.1,5.1,4.5,3,2.4,2,1,0.9,0.3
Kurt Nimphius,78.0,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1
Darrall Imhoff,76.9,5,4.9,2.4,2.1,0.7,0.7,0,-0.6
Timofey Mozgov,76.9,5.7,4.5,3.7,1.1,1.1,0.7,0.6,0.4
