Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Chris Ford,,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,NA,NA,NA,NA
Greg Anthony,91.5,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA,NA,NA
Ricky Sobers,89.9,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA,NA,NA
Eric Gordon,89.8,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA,NA,NA
Johnny Davis,89.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA,NA,NA,NA
Jarrett Jack,88.8,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0,NA
Courtney Lee,88.8,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7,0.4,NA,NA,NA
John Long,88.8,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.5,0.2,0.2,0.2,0.1
Sherman Douglas,88.3,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,0.2,-0.1,NA,NA
Spud Webb,86.6,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2,-0.1,NA,NA
Trent Tucker,86.4,4.6,4,4,3.4,3.3,3.3,3,2.9,2.8,1.9,1.1,NA,NA,NA
