Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chris Ford,,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1
Greg Anthony,93.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6
Jarrett Jack,92.1,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2
Johnny Davis,89.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7
Mike Gale,89.5,4.7,4,3.9,3.6,3.4,3.3,2.6,2.4,2.2,2
Courtney Lee,89.5,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7
John Long,89.1,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2
T.R. Dunn,88.9,4.9,4.4,4.4,4.1,4,3.7,3.3,2.4,1.6,1.6
Sherman Douglas,87.2,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,-0.1
Spud Webb,86.9,5.4,5.1,5.1,4.5,4.1,3.9,3.5,2.3,2.2,1.2
Eric Gordon,86.7,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
