,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,21,PHI,NBA,SG,82,2686,2%,70%,28%,,,+0.1,+2.9,63,38,112,11,85,0,554,12,23
2005-06,22,PHI,NBA,SF,82,3086,,48%,51%,1%,,+0.4,+10.5,76,44,110,9,151,26,554,19,36
2006-07,23,PHI,NBA,SG,76,3062,,55%,45%,,,-3.4,-0.9,133,66,106,22,226,21,927,36,37
2007-08,24,PHI,NBA,SF,82,3242,,22%,75%,4%,,-0.2,-1.8,98,40,91,31,209,13,827,44,28
2008-09,25,PHI,NBA,SF,82,3269,,13%,84%,2%,,+1.8,+10.9,99,67,72,27,223,19,921,40,38
2009-10,26,PHI,NBA,SF,82,3193,,33%,63%,3%,,-4.7,0.0,120,57,78,11,182,19,1031,30,33
2010-11,27,PHI,NBA,SF,67,2469,,10%,86%,4%,,+3.6,+4.9,65,45,60,11,129,10,937,21,23
2011-12,28,PHI,NBA,SF,62,2209,,34%,65%,2%,,+5.7,+3.1,58,34,43,9,86,15,741,12,18
2012-13,29,DEN,NBA,SG,80,2779,3%,86%,11%,,,+6.7,+5.0,99,60,61,14,110,9,957,27,30
2013-14,30,GSW,NBA,SF,63,2040,1%,20%,78%,1%,,+13.8,+18.0,53,22,55,7,53,13,626,10,21
2014-15,31,GSW,NBA,SF,77,2069,,1%,96%,3%,,+11.5,+1.3,54,16,63,10,51,15,525,11,8
2015-16,32,GSW,NBA,SF,65,1732,,1%,85%,15%,,+13.5,+4.3,41,25,67,4,29,10,522,9,10
2016-17,33,GSW,NBA,SF,76,1998,,3%,90%,8%,,+12.6,+1.7,45,7,50,2,35,7,607,5,10
2017-18,34,GSW,NBA,SF,64,1622,,14%,82%,4%,,+8.1,+3.0,41,18,48,1,38,5,484,12,12
2018-19,35,GSW,NBA,SF,68,1578,3%,34%,59%,5%,,+8.7,+3.3,37,6,48,1,29,10,505,7,4
2019-20,36,MIA,NBA,SG,14,259,2%,81%,17%,,,-1.8,-5.5,8,4,17,4,4,2,67,1,1
Career,,,NBA,,1122,37293,1%,32%,64%,3%,,+4.0,+4.3,1090,549,1081,174,1640,194,10785,296,332
,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHI,NBA,,615,23216,,35%,62%,2%,,+0.1,+3.7,712,391,672,131,1291,123,6492,214,236
6 seasons,,GSW,NBA,,413,11039,,11%,83%,6%,,+11.5,+5.5,271,94,331,25,235,60,3269,54,65
1 season,,DEN,NBA,,80,2779,3%,86%,11%,,,+6.7,+5.0,99,60,61,14,110,9,957,27,30
1 season,,MIA,NBA,,14,259,2%,81%,17%,,,-1.8,-5.5,8,4,17,4,4,2,67,1,1
