,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,21,PHI,NBA,SG,5,192,,62%,38%,,,-6.2,+9.6,4,1,6,0,5,0,35,0,3
2007-08,24,PHI,NBA,SF,6,234,,19%,81%,,,-12.4,-19.3,12,9,6,2,13,2,63,0,5
2008-09,25,PHI,NBA,SF,6,269,,,96%,5%,,-7.7,+29.4,14,7,4,2,21,4,93,3,3
2010-11,27,PHI,NBA,SF,5,182,,1%,95%,4%,,-5.3,+12.8,9,2,8,2,7,1,76,0,1
2011-12,28,PHI,NBA,SF,13,505,,62%,38%,1%,,+0.5,+7.6,12,4,16,2,23,1,105,3,8
2012-13,29,DEN,NBA,SG,6,243,1%,70%,30%,,,-1.5,+21.6,8,5,1,3,10,2,71,0,4
2013-14,30,GSW,NBA,SF,7,248,,11%,89%,,,-6.2,-10.3,8,6,9,2,11,4,77,2,3
2014-15,31,GSW,NBA,SF,21,635,,1%,89%,10%,,+6.1,-6.0,12,2,20,0,24,5,169,7,3
2015-16,32,GSW,NBA,SF,24,767,,3%,89%,9%,,+4.2,-1.5,2,16,19,3,22,6,217,3,7
2016-17,33,GSW,NBA,SF,16,419,,5%,83%,12%,,+11.4,-4.1,13,1,14,0,9,3,122,2,0
2017-18,34,GSW,NBA,SF,15,401,,41%,56%,3%,,+13.9,+6.0,8,4,13,2,12,2,95,2,6
2018-19,35,GSW,NBA,SF,21,629,,16%,78%,6%,,+5.5,+5.0,17,4,22,0,13,9,197,1,3
Career,,,NBA,,145,4724,,21%,74%,5%,,+2.6,+2.8,119,61,138,18,170,39,1320,23,46
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,GSW,NBA,,104,3099,,11%,81%,8%,,+6.2,-1.2,60,33,97,7,91,29,877,17,22
5 seasons,,PHI,NBA,,35,1382,,34%,64%,2%,,-5.0,+8.3,51,23,40,8,69,8,372,6,20
1 season,,DEN,NBA,,6,243,1%,70%,30%,,,-1.5,+21.6,8,5,1,3,10,2,71,0,4
