Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bo Ellis,,1.1,0.9,0.5,NA,NA,NA,NA,NA
James Michael McAdoo,95.4,1.1,0.8,0.5,0,NA,NA,NA,NA
Tommie Bowens,87.5,1.2,1.1,0.5,NA,NA,NA,NA,NA
Patrick McFarland,80.8,1.3,0.7,0.4,NA,NA,NA,NA,NA
James Wilkes,79.5,1.1,0.8,0.1,NA,NA,NA,NA,NA
Tom Kozelko,79.3,1,0.7,0.7,NA,NA,NA,NA,NA
Fred Saunders,78.4,1.3,1.2,0.5,0.1,NA,NA,NA,NA
Ray Tolbert,77.2,1.1,0.8,0.7,0.3,0,NA,NA,NA
Shavlik Randolph,76.8,1.1,0.7,0.4,0.1,0,0,0,0
Bill Hosket,73.8,1,1,0.6,0.5,NA,NA,NA,NA
Art Spector,73.7,1.4,1,0.6,-0.2,NA,NA,NA,NA
