Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Pat Cummings,,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,NA,NA
Stromile Swift,89.2,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA,NA,NA
Shandon Anderson,88.3,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA,NA,NA
Allan Bristow,88.3,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,NA,NA,NA,NA
Fred Roberts,87.3,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2,0,NA
James Jones,87.2,4.7,4,3.7,2.5,2.2,1.7,1.5,1.2,1,0.9,0.8,0.7,0.2,0
Charlie Villanueva,86.4,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA,NA,NA
Othella Harrington,86.1,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0,NA,NA
Keith Erickson,85.5,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,NA,NA
Kwame Brown,85.4,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,NA,NA
Ron Anderson,84.7,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA,NA,NA,NA
