Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mitch Richmond,,10.8,9.3,8,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1,1.6,0.9
Walter Davis,92.8,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.6,3.5,2.7,2,0.6
Dan Majerle,92.2,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.6,2.5,2.1
Derek Harper,91.6,9.9,9.4,9.1,8,7.6,6.4,6.3,6.2,5.4,4,3.5,2.7,2.7,1.3
Dale Ellis,91.4,10.8,9.3,9,7.6,6.4,6.4,6.2,4.8,3.4,3.2,3.1,2.4,1.6,1.5
Rod Strickland,90.5,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2
Stephon Marbury,90.1,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1,-0.3,NA
Rolando Blackman,89.7,9.8,8,7.3,7,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,NA
Louie Dampier,89.7,10.1,9.5,8.5,8.1,7.4,7.2,6,5.4,5,4,1.6,1.2,NA,NA
Dick Van Arsdale,89.7,10.4,10.2,9,8.7,7,5.9,5.6,5.2,4,3.8,2.7,2.6,NA,NA
Gail Goodrich,89.5,12.3,8.1,7.8,6.7,6.4,6.3,6.3,5.5,5.1,4.4,3.6,2.2,1.2,0.7
