Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rodney White,,1.8,0.5,-0.2,-0.4
Red Morrison,72.3,1.7,0.5,0,NA
Marquese Chriss,71.2,1.8,0.7,-0.2,NA
Jim Holstein,70.3,1.8,0.6,0.2,NA
John Fairchild,69.7,1.7,0.7,0,-0.6
Ron Bonham,64.8,1.8,0.7,0.2,NA
Derrick Alston,63.6,1.7,1,-0.1,NA
Bill Bunting,63.2,2,0.7,0,NA
C.J. Kupec,60.8,1.5,0.5,-0.2,NA
Chris Singleton,58.9,1.5,0.5,0.2,NA
Joey Dorsey,58.8,1.9,0.8,0.1,0
