,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2012-13,22,GSW,NBA,SF,79,1061,,22%,60%,19%,,+0.2,-1.2,25,6,75,12,24,7,118,3,12
2013-14,23,GSW,NBA,SF,82,1797,,7%,62%,31%,1%,+4.9,-0.1,46,12,96,26,43,19,358,3,25
2014-15,24,GSW,NBA,PF,79,2490,,,,90%,10%,+16.1,+14.6,76,27,127,22,85,9,698,22,33
2015-16,25,GSW,NBA,PF,81,2808,,,,80%,21%,+18.5,+26.3,133,84,116,19,143,17,1402,36,55
2016-17,26,GSW,NBA,PF,76,2471,,,,79%,21%,+15.9,+11.3,138,17,106,17,80,11,1241,10,40
2017-18,27,GSW,NBA,PF,70,2287,,,48%,51%,1%,+6.8,+1.3,154,26,93,15,79,6,1167,15,33
2018-19,28,GSW,NBA,PF,66,2065,,,59%,39%,2%,+10.5,+7.8,127,19,93,16,38,22,1069,12,17
2019-20,29,GSW,NBA,PF,43,1222,,,23%,73%,4%,-7.1,+2.8,74,10,48,4,33,14,636,9,13
Career,,,NBA,,576,16201,,2%,27%,62%,9%,+10.4,+9.8,773,201,754,131,525,105,6689,110,228
