Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Draymond Green,,11.1,8.5,8.2,6.1,4.5,4.3,0.6
Gordon Hayward,91.7,10.4,8.9,8.7,5.4,4.9,3.6,1.2
Alex English,90.1,10.3,9.5,8.3,7,5.3,4,1.2
Vin Baker,89.8,10.4,8.3,6.2,5.8,4.4,3.5,0.4
Christian Laettner,89.6,11.6,7.5,6.2,6.2,5,4.1,0.7
Chris Webber,88.9,10.7,9.3,8.3,7.8,4,3.6,1.9
Detlef Schrempf,88.4,9.8,9,8.1,4.4,4,3.6,0.8
Clifford Robinson,87.8,8.7,8,7.5,6.8,4.6,4.2,0.3
Carlos Boozer,85.7,10.2,9.9,9.4,5.9,4.1,3.5,2.6
Paul George,85.6,10.8,9.2,9,7.1,6,2.4,0
Glen Rice,85.3,10.2,10,8.3,7.9,6.3,4.4,1.4
