Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bojan Bogdanović,,6.8,5.4,2.9,2.4,0.9
Kevin Porter,93.6,6.5,5.2,2.7,2.3,0.5
Austin Carr,93.4,5.9,5.4,2.9,2.6,1
Dave Twardzik,92.8,7.5,5.1,3,2.4,1.1
Quentin Richardson,92.1,5.8,5.6,3,2.4,1
Paul Walther,91.1,6.6,5.2,3.1,2.2,2
D.J. Augustin,90.6,6.2,5.1,2.8,2.8,0.5
Vinny Del Negro,89.1,6.8,5.7,3.5,2.5,2.2
Tyrone Corbin,88.8,6.8,5.4,3,1.2,0.1
Jim Cleamons,88.2,7.1,5.5,2.6,1.7,0.1
Ricky Rubio,88.0,5.9,5.8,3,2,0.5
