,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,25,BRK,NBA,SF,6,206,,,68%,32%,,-7.9,-7.2,3,3,3,1,3,1,26,1,4
2016-17,27,WAS,NBA,SF,13,264,,,23%,76%,1%,-12.5,-20.3,6,1,9,1,10,0,21,2,3
2017-18,28,IND,NBA,SF,7,238,,,98%,2%,,+6.1,-0.8,5,6,9,0,7,3,30,4,6
2018-19,29,IND,NBA,SF,4,148,,,92%,8%,,-11.0,-19.3,2,3,3,1,6,2,27,3,5
Career,,,NBA,,30,856,,,67%,33%,,-5.9,-11.6,16,13,24,3,26,6,104,10,18
,,,,,,,,,,,,,,,,,,,,,,
1 season,,WAS,NBA,,13,264,,,23%,76%,1%,-12.5,-20.3,6,1,9,1,10,0,21,2,3
2 seasons,,IND,NBA,,11,386,,,96%,4%,,-0.5,-7.9,7,9,12,1,13,5,57,7,11
1 season,,BRK,NBA,,6,206,,,68%,32%,,-7.9,-7.2,3,3,3,1,3,1,26,1,4
