Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bojan Bogdanović,,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA,NA
George Lehmann,89.8,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA,NA,NA,NA
Bobby Simmons,87.6,6.8,5.3,3.4,2,0.9,0.7,0.7,0.3,0.1,0,NA,NA
Paul Walther,86.1,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA,NA
Josh Richardson,84.9,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Lance Stephenson,82.1,7.4,5.5,2.2,1.8,1.1,0.1,-0.2,-0.3,-0.9,NA,NA,NA
Lewis Lloyd,80.8,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA,NA
Tyler Johnson,79.9,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA,NA,NA,NA
Mike James,77.4,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Bob Donham,77.1,6.1,4.5,3.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Sailors,76.7,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA,NA,NA,NA
