Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Hopkins,,3.5,2.7,1.9,1.4
Boban Marjanović,94.1,3.4,3,1.7,1.5
Marreese Speights,91.4,3.8,2.7,2.1,1.7
Francisco Elson,91.2,3.1,2.9,1.8,1.6
Leroy Ellis,90.0,3.8,2.8,2.3,1.6
Manute Bol,88.9,3.9,2.4,2,1.7
Willie Sojourner,88.0,3.5,3,2.4,1.9
Kelvin Cato,87.5,4.2,2.7,1.7,1.6
Sean Rooks,87.4,3,2.2,1.8,1.5
Gene Wiley,87.2,2.8,2.4,1.8,1.3
Jim Barnes,87.1,3.4,2.9,2.4,2.1
