Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bob Hopkins,,3.5,2.7,1.9,1.4,NA,NA,NA
Boban Marjanović,94.1,3.4,3,1.7,1.5,NA,NA,NA
Willie Sojourner,88.0,3.5,3,2.4,1.9,NA,NA,NA
Gene Wiley,86.6,2.8,2.4,1.8,1.3,-0.1,NA,NA
Art Spoelstra,85.7,3.7,1.8,1.7,1.4,NA,NA,NA
Ekpe Udoh,85.2,3.2,2.7,2.1,1.6,0.7,0.3,0
Victor Alexander,85.0,3,2.5,2.3,1.1,-0.1,NA,NA
George Peeples,85.0,4.1,3.2,2.1,1.5,0.2,0,NA
Salah Mejri,84.0,3,2.7,1.3,1.1,NA,NA,NA
Willy Hernangómez,81.7,3.4,2.6,1.8,NA,NA,NA,NA
Tarik Black,80.0,3.1,2.4,1.5,0.7,NA,NA,NA
