Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mark Price,,11.3,10.1,10,9.8,9.1,7.8,4.2,4,2,1.7,1.1,0
Paul Westphal,91.1,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.5,1.4,0.3
Sam Cassell,87.8,12.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,3.8,2.2,0.8
Gus Williams,85.5,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA
Mack Calvin,85.4,10.4,9,8.8,8.5,8.5,7.7,2.8,1.8,1.5,1.4,0,NA
Deron Williams,85.1,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,2.4
Bobby Wanzer,84.7,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA
Mookie Blaylock,84.5,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.5,3.3,2.1,-0.3
Terry Porter,84.2,13,11.7,10.6,9.8,9.2,8.8,6.8,5.4,3.7,2.7,2.3,1.7
Kyle Lowry,83.9,11.7,11.6,10.2,10.1,7.1,7,5.6,4.9,4.3,3.6,3.4,0.5
Archie Clark,82.9,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA,NA
