Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Walter Herrmann,,2.4,1,0.7,NA,NA
Grady Lewis,94.9,2.4,1.1,0.8,NA,NA
Marty Byrnes,89.3,2.3,1,0.9,0,NA
Charles Jones,86.0,2.9,0.9,0.6,0.1,NA
Kenny Fields,84.6,2.8,0.7,0.7,0,NA
Derrick Brown,82.9,2.3,1.3,1,NA,NA
Bob Quick,82.8,2.6,0.8,0.6,0.3,NA
Joe Kopicki,81.4,1.9,0.9,0.7,NA,NA
Dennis Hamilton,80.9,2.8,0.7,0.5,0,NA
Jeff Adrien,80.1,2.7,1,0.4,0.2,0.1
Dick Schulz,79.6,2.9,0.8,0.6,0,NA
