Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Terrence Jones,,7.3,3,2.3,1.5,0.7,-0.1,NA,NA,NA,NA,NA,NA
Brian Cardinal,81.7,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0,0,0,0
Jim Baechtold,81.2,6,3.2,2.6,2.1,0.9,NA,NA,NA,NA,NA,NA,NA
Monk Meineke,81.2,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA,NA,NA,NA
Neil Johnson,80.1,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3,NA,NA,NA,NA,NA
JaMychal Green,77.0,5.8,2.9,2.6,2.6,0.4,NA,NA,NA,NA,NA,NA,NA
Jerami Grant,76.7,7.3,5.4,2.9,2.1,0.5,NA,NA,NA,NA,NA,NA,NA
Kyle Anderson,76.6,6.2,3.5,2.7,2.7,0.3,NA,NA,NA,NA,NA,NA,NA
Tyler Zeller,76.6,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA,NA
Larry Krystkowiak,75.3,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA,NA,NA
Gary Bradds,74.9,8,3.6,3.4,0.5,0.3,0,NA,NA,NA,NA,NA,NA
