Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Terrence Jones,,7.3,3,2.3,1.5,0.7,-0.1
Paul Silas,82.3,6.9,3.3,3.3,1.8,1.2,0.5
Larry Krystkowiak,81.5,6.3,2.6,2.1,1.8,1.4,0.1
Jim Baechtold,81.2,6,3.2,2.6,2.1,0.9,NA
Monk Meineke,81.2,6.1,3.7,2.6,1.8,0.7,NA
Travis Outlaw,80.6,5.3,3.2,2.3,1.4,0.9,0
Jason Maxiell,78.9,6.3,4.1,2.6,1.8,0.5,-0.2
Ben Warley,78.7,6.3,3.8,1.7,1.5,0.6,0.5
Tyler Zeller,78.0,6.5,2.9,2.6,2,1.7,1
Al Harrington,77.7,5.9,3.9,2.6,1.2,1,-0.2
JaMychal Green,77.0,5.8,2.9,2.6,2.6,0.4,NA
