Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bailey Howell,,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5,3.1
Paul Pierce,94.0,12.9,12.4,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.1,5.4,4.9
Kevin McHale,93.5,14.8,11.1,11,11,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4
Adrian Dantley,92.3,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,5.7,4.3
Dominique Wilkins,91.7,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7,5.8,5.1
Rick Barry,91.3,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8
Chet Walker,91.3,14.5,10.9,10.9,10.6,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7
Larry Nance,89.7,12.2,10.7,10.5,10.3,10.2,9.8,9.8,8.4,8,7.9,6.5,2.4
Shawn Marion,88.3,14.6,13,12.5,12,11.7,9.8,9.1,7.4,5.6,5.2,5,4.1
Scottie Pippen,87.6,13.1,12.7,12.3,11.8,11.2,11.2,8.6,6.6,5.7,4.9,4,2.3
Pau Gasol,86.9,14.7,13.9,12,11,8.5,8.4,8.3,8.1,7.6,6.9,6.8,3.7
