Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,23,DET,NBA,PF,2,NA,72,7,20.5,0.341,3,4,0.75,8.5,1.5,4,17
1960-61,24,DET,NBA,PF,5,NA,154,4.7,13.3,0.351,3.7,5.4,0.696,10.8,5.1,5.1,13.1
1961-62,25,DET,NBA,SF,10,NA,378,6.6,15.5,0.423,5.9,7.1,0.827,9.1,2.2,4.6,19
1962-63,26,DET,NBA,SF,4,NA,163,5.3,14.1,0.375,5.1,6,0.852,9.3,2.4,4.2,15.7
1964-65,28,BAL,NBA,PF,9,NA,350,6.9,13.4,0.515,5.5,7.2,0.757,10.8,2,3.9,19.2
1965-66,29,BAL,NBA,PF,3,NA,94,8.8,19.1,0.46,3.1,4.2,0.727,11.5,0.8,5,20.7
1966-67,30,BOS,NBA,PF,9,NA,241,8.8,18.2,0.484,3,4.5,0.667,9.9,0.7,5.2,20.6
1967-68,31,BOS,NBA,PF,19,NA,597,8.1,15.9,0.511,4.5,6.5,0.692,8.8,1.3,5.1,20.7
1968-69,32,BOS,NBA,PF,18,NA,551,7.3,15,0.489,3,4.2,0.719,7.7,1.2,5.5,17.6
1970-71,34,PHI,NBA,PF,7,NA,122,5.6,13.3,0.422,2.7,5.3,0.5,9.1,1.2,7.4,13.9
Career,NA,,NBA,,86,NA,2722,7.2,15.4,0.465,4.2,5.7,0.732,9.2,1.7,5,18.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BOS,NBA,,46,NA,1389,7.9,15.9,0.498,3.6,5.2,0.697,8.6,1.2,5.3,19.5
4 seasons,NA,DET,NBA,,21,NA,767,6,15.3,0.391,5,6.2,0.805,9.4,2.8,4.6,16.9
2 seasons,NA,BAL,NBA,,12,NA,444,7.3,14.6,0.5,4.9,6.6,0.753,10.9,1.7,4.1,19.5
1 season,NA,PHI,NBA,,7,NA,122,5.6,13.3,0.422,2.7,5.3,0.5,9.1,1.2,7.4,13.9
