,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,23,DET,NBA,,13,,3,5,,,4,29
1960-61,24,DET,NBA,,6,,5,9,,,6,17
1961-62,25,DET,NBA,,10,,12,14,,,,28
1962-63,26,DET,NBA,,8,19,12,15,12,4,6,19
1964-65,28,BAL,NBA,,10,20,13,15,20,5,6,29
1965-66,29,BAL,NBA,,9,19,4,5,12,1,6,22
1966-67,30,BOS,NBA,,11,,4,8,,,,23
1967-68,31,BOS,NBA,,13,,6,10,,,6,30
1968-69,32,BOS,NBA,,12,24,5,8,16,3,6,29
1970-71,34,PHI,NBA,,6,14,3,5,11,2,6,15
Career,,,,,13,,13,15,,,,30
3 Seasons,,BOS,NBA,,13,,6,10,,,,30
4 Seasons,,DET,NBA,,13,,12,15,,,,29
2 Seasons,,BAL,NBA,,10,20,13,15,20,5,6,29
1 Season,,PHI,NBA,,6,14,3,5,11,2,6,15
