Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Keith Askins,,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2
Wali Jones,86.7,4,4,2.5,1.3,1.1,0.8,0.5,0.3,0.3
Eddie House,82.0,4.9,3.9,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Al Wood,81.6,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA
Roger Mason,80.8,4.7,3.4,1.9,1.4,0.9,0.2,0.1,0.1,-0.1
Paul Hoffman,80.6,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA
Billy Kenville,80.3,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA
Doug West,79.5,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.1,-0.1
Wayne Ellington,79.4,4.5,3.3,3.2,1.2,0.8,0.8,0.7,0.4,0.3
Allen Crabbe,78.6,4.3,4.2,3.2,1.3,0.8,0.1,NA,NA,NA
Keyon Dooling,78.3,3.7,3.7,2.1,1.5,1.4,1.1,0.3,0.3,0
