Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Keith Askins,,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,NA,NA,NA
Roger Mason,82.6,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA,NA
Al Wood,81.6,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA,NA,NA,NA
Wali Jones,80.8,4,4,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3,0.2,NA
Paul Hoffman,80.6,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA,NA,NA
Billy Kenville,80.3,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA,NA,NA
Doug West,80.1,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
Allen Crabbe,78.6,4.3,4.2,3.2,1.3,0.8,0.1,NA,NA,NA,NA,NA,NA
Jordan Farmar,77.8,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0,NA,NA
T.J. Ford,77.1,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA,NA
Whitey Skoog,76.2,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
