Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mickaël Gelabale,,1.5,1.3,0.2,NA
Joel Freeland,94.9,1.6,1.4,0.2,NA
Skal Labissière,90.2,1.4,1.3,0.3,NA
Tom Workman,88.4,1.4,1.3,0.4,0.1
Rudy Macklin,85.8,1.8,1.4,0.1,NA
Derrick Chievous,82.9,1.6,1.2,-0.1,NA
Kenny Battle,81.6,1.9,1.3,0.3,0.1
Brian Rowsom,79.4,1.5,1,0,NA
Chris McNealy,78.3,1.6,0.8,0.2,NA
Kevin Loder,78.0,1.5,0.9,0.1,NA
Fred Saunders,77.9,1.3,1.2,0.5,0.1
