Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
J.R. Reid,,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1
Othella Harrington,93.0,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0
Dante Cunningham,90.9,3.5,3.4,3,2.9,2.4,2.1,2,1.9,1.9,1.6,NA
Tom Hawkins,90.1,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1,NA
Reggie Evans,89.6,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.3,1.3,0.2
Charles Jones,89.2,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0
Mark Bryant,88.3,3.6,3.2,2.5,2.3,2.3,2.1,2.1,1.6,1.5,1.1,1
Scott Williams,87.0,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,0.9,0.3,-0.1
Andrew DeClercq,86.6,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA
Greg Anderson,86.0,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3,NA
Omri Casspi,85.9,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA
