Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
James Anderson,,1.9,0.9,0.5,0.3,-0.3,NA
Felipe López,77.8,1.9,0.5,0.4,0.3,NA,NA
Mo Layton,74.0,1.9,1.1,1,0.3,0.1,NA
Steve Alford,73.0,1.4,0.9,0.6,0.3,NA,NA
Lloyd Daniels,72.6,1.8,1.1,0.2,0.1,0,NA
Bubbles Hawkins,72.1,1.9,0.6,0.3,0.1,NA,NA
Sidney Lowe,72.1,1.7,1.5,0.5,0.3,NA,NA
Chink Crossin,71.7,2.1,1.2,0.5,NA,NA,NA
John Jenkins,71.6,1.7,0.9,0.2,0.2,0,-0.1
Mike Flynn,71.1,1.7,0.8,0.3,NA,NA,NA
Donnie Butcher,71.0,1.9,1.2,1.1,0.5,-0.3,NA
