Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jarron Collins,,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1
Steve Novak,84.8,4,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1
Lionel Simmons,83.8,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA,NA
Chase Budinger,82.9,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA
Cornell Warner,82.1,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA,NA,NA
Kyle O'Quinn,81.5,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA
Walter McCarty,80.9,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2
Donald Royal,80.8,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA
Jason Caffey,80.7,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA
Kenny Gattison,80.1,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0,NA
Mike Sanders,79.5,3.9,3.1,2.7,1.8,1.2,1,0.8,0.8,0.6,0.1
