Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Andrew Levane,,1.8,-0.4,-0.6,NA
Gene Stump,37.0,2.1,-0.2,-0.8,NA
John Rudometkin,34.0,1.6,-0.1,-0.5,NA
LeRon Ellis,23.3,1.6,-0.1,-0.2,NA
Larry Demic,21.8,1.6,-0.1,-0.1,NA
Dick Ricketts,19.7,2,0.1,0,NA
Johnny Ezersky,17.4,1.7,0.5,-0.7,NA
Dean Tolson,16.9,2,0.2,0,NA
Marquese Chriss,12.6,1.8,0.7,-0.2,NA
Eric Moreland,11.6,2.3,0,0,0
Joe Roberts,9.5,1.9,0.2,0.2,0
