Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Marc Gasol,,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7,NA,NA,NA,NA,NA,NA,NA
Al Horford,90.3,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,2.8,1.3,NA,NA,NA,NA,NA,NA
Alonzo Mourning,89.3,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,NA,NA,NA
Clyde Lovellette,87.3,10.1,9,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,NA,NA,NA,NA,NA,NA,NA
Dave Cowens,86.3,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA,NA,NA,NA,NA,NA,NA
Billy Paultz,84.9,9,8.9,8.7,8.6,7,5.6,5.3,5.1,5,4,2.7,0.3,0.3,0.1,0,NA,NA,NA
Brad Miller,83.3,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,3,2.7,2.1,0.2,NA,NA,NA,NA
Larry Foust,81.7,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,NA,NA,NA,NA,NA,NA,NA
Tyson Chandler,80.9,10.3,10,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,2.1,1.9,1.8
Zydrunas Ilgauskas,80.9,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.9,2.5,2.5,0.7,0.5,NA,NA,NA,NA,NA
Nate Thurmond,80.7,9.9,9,7.2,7.2,6.5,6.1,6,5.2,4.7,4.3,3.7,3.5,2.4,2.3,NA,NA,NA,NA
