Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Don Otten,,8.5,5.8,4.9,1.7,NA,NA,NA,NA,NA
Myles Turner,88.2,8,6.3,4.7,3.1,NA,NA,NA,NA,NA
Gheorghe Mureșan,88.1,8,5.3,4.1,1.3,0.3,-0.1,NA,NA,NA
Bob Rule,86.5,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0,NA
Nikola Peković,82.3,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA,NA
Bill McGill,74.5,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA,NA
Ralph Sampson,74.1,6.2,6,5,2.2,1.1,0.6,-0.2,-0.3,-0.6
Joel Embiid,73.8,8.7,6.2,1.9,NA,NA,NA,NA,NA,NA
Mike Lewis,73.5,7.9,7.5,4,3.8,1.1,0,NA,NA,NA
Jusuf Nurkić,73.0,7.8,4.7,2,1.6,0.4,NA,NA,NA,NA
Tom Burleson,71.5,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA
