Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Don Otten,,8.5,5.8,4.9,1.7
Vlade Divac,97.4,8.3,5.6,5,1.8
Tree Rollins,90.0,9.2,6.4,5,2.6
Gheorghe Mureșan,89.5,8,5.3,4.1,1.3
Steve Stipanovich,89.2,9,5.9,5,3.6
George Ratkovicz,88.8,9.3,6,5.4,2.8
Nikola Vučević,88.6,7,5.7,4.4,1.8
Myles Turner,88.2,8,6.3,4.7,3.1
Bob Rule,86.9,7.8,6.4,5.2,0.5
Rick Mahorn,86.7,6.2,5.9,4.8,1.8
Rich Kelley,86.3,8.6,6.4,4.8,4.3
