,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,28,TOT,NBA,,8,,15,20,,,,24
1949-50,28,TRI,NBA,,7,,14,19,,,,24
1949-50,28,WSC,NBA,,8,,15,20,,,,23
1950-51,29,TOT,NBA,,8,,11,,,,,22
1950-51,29,WSC,NBA,,8,,11,,,,,22
1950-51,29,BLB,NBA,,2,,3,5,,,,6
1950-51,29,FTW,NBA,,8,,10,11,,,,20
1951-52,30,TOT,NBA,,9,,16,18,,,6,28
1951-52,30,FTW,NBA,,2,,7,8,,,6,9
1951-52,30,MLH,NBA,,9,,16,18,,,6,28
1952-53,31,MLH,NBA,,3,,9,11,,,6,15
Career,,,,,9,,16,,,,,28
3 Seasons,,"MLH,TRI",NBA,,9,,16,19,,,,28
2 Seasons,,FTW,NBA,,8,,10,11,,,,20
2 Seasons,,WSC,NBA,,8,,15,,,,,23
1 Season,,BLB,NBA,,2,,3,5,,,,6
