Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chris Mills,,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1
Cedric Ceballos,88.2,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,0.4
Charles Smith,87.4,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA
Tristan Thompson,87.3,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA
Wil Jones,86.7,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA
Josh Howard,86.4,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2
Jamal Mashburn,86.4,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.2
Donyell Marshall,85.6,10.4,8.5,6,5,4.2,3.8,3,1.3,1.3,0.3
Sidney Wicks,85.2,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1
Vin Baker,84.8,10.4,8.3,6.2,5.8,4.4,3.5,2.2,1.8,1.6,0.4
Boris Diaw,84.6,8.9,6.2,4.8,4.7,4.6,4.4,3,0.8,0.6,0.1
