Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chris Mills,,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA
Charles Smith,87.4,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
Tristan Thompson,87.3,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Wil Jones,86.7,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Josh Howard,86.4,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2,NA
Cedric Ceballos,86.2,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,1.3,0.4
Jamal Mashburn,85.3,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Sidney Wicks,85.2,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA
Kenneth Faried,84.0,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
M.L. Carr,83.9,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA
Gus Johnson,83.2,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA
