Season,Team,Lg,Salary
1993-94,Cleveland Cavaliers,NBA,"$650,000"
1994-95,Cleveland Cavaliers,NBA,"$845,000"
1995-96,Cleveland Cavaliers,NBA,"$1,040,000"
1996-97,Cleveland Cavaliers,NBA,"$1,235,000"
1997-98,New York Knicks,NBA,"$3,000,000"
1998-99,Golden State Warriors,NBA,"$3,600,000"
1999-00,Golden State Warriors,NBA,"$4,200,000"
2000-01,Golden State Warriors,NBA,"$4,800,000"
2001-02,Golden State Warriors,NBA,"$5,400,000"
2002-03,Golden State Warriors,NBA,"$6,000,000"
2003-04,Boston Celtics,NBA,"$6,600,000"
Career,(may be incomplete),,"$37,370,000"
