Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1993-94,24,CLE,NBA,SF,79,18,2022,7.4,17.5,0.419,1,3.2,0.311,6.4,14.4,0.443,3.5,4.6,0.778,3.5,6.9,10.4,3.3,1.4,1.3,2.3,6,19.2,NA,105,105
1994-95,25,CLE,NBA,SF,80,79,2814,7.2,17.2,0.42,1.9,4.8,0.392,5.3,12.4,0.431,3.5,4.3,0.817,2,5.4,7.4,3.1,1.2,0.7,2.4,4.9,19.8,NA,106,107
1995-96,26,CLE,NBA,SF,80,80,3060,8.7,18.5,0.468,1.5,4,0.376,7.1,14.5,0.493,4.2,5,0.829,2.1,6.3,8.4,3.6,1.4,1,2.3,4.6,23,NA,112,108
1996-97,27,CLE,NBA,SF,80,79,3167,7.4,16.3,0.453,1.6,4,0.391,5.8,12.3,0.473,3.2,3.8,0.842,2.2,6.9,9.1,3.6,1.6,0.7,2.2,4.1,19.6,NA,111,103
1997-98,28,NYK,NBA,SF,80,29,2183,7.3,16.8,0.433,1,3.4,0.292,6.3,13.4,0.468,3.8,4.7,0.804,3,7.2,10.2,3.3,1.1,0.7,2.7,5.4,19.3,NA,104,101
1998-99,29,GSW,NBA,SF,47,24,1395,7.2,17.5,0.411,1.2,4.5,0.278,6,13.1,0.456,3.1,3.7,0.823,1.9,7.3,9.2,4,1.5,0.5,2.2,4.8,18.7,NA,104,102
1999-00,30,GSW,NBA,SF,20,11,649,9.5,22.6,0.421,0.6,2.3,0.267,8.9,20.3,0.439,5.3,6.5,0.81,3.6,6,9.5,3.6,1.4,0.3,1.9,4.7,25,NA,107,110
2000-01,31,GSW,NBA,SF,15,8,493,7.3,19.8,0.372,0.7,2.6,0.28,6.6,17.2,0.386,3.2,3.7,0.861,2.5,7.1,9.6,1.9,0.9,0.5,2.1,4.4,18.6,NA,94,109
2001-02,32,GSW,NBA,SF,66,0,1237,7.3,17.5,0.417,2,5.2,0.378,5.3,12.3,0.433,3.5,4.4,0.794,2.1,5.7,7.8,3,1.3,0.5,2.3,4.9,20.1,NA,108,111
2002-03,33,GSW,NBA,PF,21,0,262,7.6,20.6,0.368,1.4,4.9,0.28,6.2,15.7,0.395,3.1,3.5,0.889,3.7,6,9.7,4.3,1.4,0.6,1.9,5.6,19.6,NA,104,111
Career,NA,,NBA,,568,328,17282,7.6,17.7,0.432,1.4,4,0.351,6.2,13.7,0.455,3.6,4.4,0.817,2.5,6.5,9,3.4,1.3,0.8,2.3,4.9,20.3,NA,107,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CLE,NBA,,319,256,11063,7.7,17.4,0.442,1.5,4.1,0.375,6.2,13.3,0.463,3.6,4.4,0.819,2.4,6.4,8.7,3.4,1.4,0.9,2.3,4.8,20.5,NA,109,106
5 seasons,NA,GSW,NBA,,169,43,4036,7.7,18.9,0.406,1.3,4.1,0.317,6.4,14.7,0.432,3.6,4.4,0.818,2.4,6.5,8.9,3.4,1.3,0.5,2.2,4.8,20.2,NA,105,108
1 season,NA,NYK,NBA,,80,29,2183,7.3,16.8,0.433,1,3.4,0.292,6.3,13.4,0.468,3.8,4.7,0.804,3,7.2,10.2,3.3,1.1,0.7,2.7,5.4,19.3,NA,104,101
