Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Reggie Williams,,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0,-1.1
Chandler Parsons,83.7,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Mitch Kupchak,83.6,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0,NA
Curtis Perry,83.5,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Julian Hammond,82.6,6.7,6.6,5.7,5.1,0.8,NA,NA,NA,NA,NA
Khris Middleton,81.5,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Jay Vincent,80.7,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA
Gene Banks,78.3,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
Larry Siegfried,78.3,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA
Mel Hutchins,78.2,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA
Warren Davis,76.4,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA
