Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bill McGill,,7.1,4.6,3.1,2.2,-0.1
Chick Halbert,86.4,7.4,3.6,3.3,2.9,NA
Roy Tarpley,84.8,7.8,3.5,3.1,2,0.6
Tony Battie,84.7,6.2,3.8,3.3,2.3,0.5
Chris Kaman,83.8,6.1,3.6,2.9,2.1,0
Dale Schlueter,83.7,6.3,4.4,3,1.6,1.1
Bob Houbregs,83.3,6.9,4.5,2.8,0.2,NA
Jusuf Nurkić,83.3,7.8,4.7,2,1.6,0.4
Randy Breuer,82.3,5.1,4.5,3,2.4,0.3
Blair Rasmussen,81.6,5.2,4.2,3.3,1.8,-0.1
Rony Seikaly,81.1,6.5,6.2,3.2,3,-0.5
