Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,23,CHZ,NBA,C,60,NA,590,11,21.5,0.513,NA,NA,NA,11,21.5,0.513,4.9,7.3,0.672,NA,NA,9.8,2.3,NA,7.2,27
1963-64,24,TOT,NBA,C,74,NA,1784,9.2,18.9,0.487,NA,NA,NA,9.2,18.9,0.487,4.1,5.7,0.723,NA,NA,8.4,2.4,NA,4.4,22.5
1963-64,24,BAL,NBA,C,6,NA,47,8.4,18.4,0.458,NA,NA,NA,8.4,18.4,0.458,6.9,8.4,0.818,NA,NA,12.3,0,NA,3.8,23.7
1963-64,24,NYK,NBA,C,68,NA,1737,9.2,18.9,0.487,NA,NA,NA,9.2,18.9,0.487,4,5.6,0.72,NA,NA,8.2,2.5,NA,4.4,22.5
1964-65,25,TOT,NBA,C,24,NA,133,5.7,17.6,0.323,NA,NA,NA,5.7,17.6,0.323,3.5,4.6,0.765,NA,NA,9.7,2.4,NA,8.7,14.9
1964-65,25,STL,NBA,C,16,NA,96,5.2,16.9,0.311,NA,NA,NA,5.2,16.9,0.311,4.5,6,0.75,NA,NA,9,2.3,NA,9.7,15
1964-65,25,LAL,NBA,C,8,NA,37,6.8,19.5,0.35,NA,NA,NA,6.8,19.5,0.35,1,1,1,NA,NA,11.7,2.9,NA,5.8,14.6
1968-69,29,DNR,ABA,C,78,NA,1760,8.4,15.2,0.552,0,0,NA,8.4,15.2,0.552,3.7,5.4,0.682,3,6.4,9.4,2.1,3,5.9,20.5
1969-70,30,TOT,ABA,C,59,NA,830,8.7,16,0.545,0,0,NA,8.7,16,0.545,3.3,4.7,0.713,2.4,6.9,9.3,2.6,3.6,6.1,20.8
1969-70,30,LAS,ABA,C,27,NA,492,9.6,17,0.565,0,0,NA,9.6,17,0.565,3.5,4.6,0.762,2.4,6.3,8.7,2.2,3.1,5.8,22.7
1969-70,30,PTP,ABA,C,8,NA,157,9.2,17.4,0.526,0,0,NA,9.2,17.4,0.526,3.2,4.8,0.667,2.1,6.9,8.9,3,4.1,4.6,21.6
1969-70,30,DLC,ABA,C,24,NA,181,6,12.1,0.492,0,0,NA,6,12.1,0.492,3,4.8,0.625,2.6,8.8,11.3,3.4,4.8,8.2,14.9
Career,NA,,TOT,,295,NA,5097,9,17.4,0.514,0,0,NA,9,17.4,0.514,3.9,5.6,0.701,2.8,6.6,9.1,2.3,3.2,5.6,21.9
,NA,,NBA,,158,NA,2507,9.4,19.5,0.486,NA,NA,NA,9.4,19.5,0.486,4.3,6,0.711,NA,NA,8.8,2.4,NA,5.3,23.2
,NA,,ABA,,137,NA,2590,8.5,15.5,0.549,0,0,NA,8.5,15.5,0.549,3.6,5.2,0.691,2.8,6.6,9.4,2.3,3.2,6,20.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,78,NA,1760,8.4,15.2,0.552,0,0,NA,8.4,15.2,0.552,3.7,5.4,0.682,3,6.4,9.4,2.1,3,5.9,20.5
1 season,NA,NYK,NBA,,68,NA,1737,9.2,18.9,0.487,NA,NA,NA,9.2,18.9,0.487,4,5.6,0.72,NA,NA,8.2,2.5,NA,4.4,22.5
2 seasons,NA,"CHZ,BAL",NBA,,66,NA,637,10.9,21.3,0.509,NA,NA,NA,10.9,21.3,0.509,5,7.3,0.685,NA,NA,10,2.1,NA,7,26.7
1 season,NA,LAS,ABA,,27,NA,492,9.6,17,0.565,0,0,NA,9.6,17,0.565,3.5,4.6,0.762,2.4,6.3,8.7,2.2,3.1,5.8,22.7
1 season,NA,DLC,ABA,,24,NA,181,6,12.1,0.492,0,0,NA,6,12.1,0.492,3,4.8,0.625,2.6,8.8,11.3,3.4,4.8,8.2,14.9
1 season,NA,STL,NBA,,16,NA,96,5.2,16.9,0.311,NA,NA,NA,5.2,16.9,0.311,4.5,6,0.75,NA,NA,9,2.3,NA,9.7,15
1 season,NA,LAL,NBA,,8,NA,37,6.8,19.5,0.35,NA,NA,NA,6.8,19.5,0.35,1,1,1,NA,NA,11.7,2.9,NA,5.8,14.6
1 season,NA,PTP,ABA,,8,NA,157,9.2,17.4,0.526,0,0,NA,9.2,17.4,0.526,3.2,4.8,0.667,2.1,6.9,8.9,3,4.1,4.6,21.6
