,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,25,TOT,NBA,,2,5,,,,,1,1,,,6,2,,6,5
1964-65,25,LAL,NBA,,2,5,,,,,1,1,,,6,2,,6,5
1968-69,29,DNR,ABA,,5,,0,,,,3,4,,,,,,,11
Career,,,TOT,,5,,,,,,3,4,,,,,,,11
,,,NBA,,2,5,,,,,1,1,,,6,2,,6,5
,,,ABA,,5,,0,,,,3,4,,,,,,,11
,,,,,,,,,,,,,,,,,,,
1 Season,,DNR,ABA,,5,,0,,,,3,4,,,,,,,11
1 Season,,LAL,NBA,,2,5,,,,,1,1,,,6,2,,6,5
