Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bill McGill,,7.1,4.6,3.1,2.2,-0.1,NA
Chick Halbert,86.4,7.4,3.6,3.3,2.9,NA,NA
Bob Houbregs,83.3,6.9,4.5,2.8,0.2,NA,NA
Jusuf Nurkić,83.3,7.8,4.7,2,1.6,0.4,NA
Gheorghe Mureșan,78.6,8,5.3,4.1,1.3,0.3,-0.1
Skip Thoren,74.8,7,4.4,1.6,NA,NA,NA
Don Otten,74.5,8.5,5.8,4.9,1.7,NA,NA
Nikola Peković,74.4,6.7,5.9,4.5,1.2,0.6,-0.1
Kim Hughes,74.1,6.8,2.3,2.2,2.2,0.4,-0.1
Roy Tarpley,74.0,7.8,3.5,3.1,2.8,2,0.6
Myles Turner,73.8,8,6.3,4.7,3.1,NA,NA
