,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,23,CHZ,NBA,,14,,,,,,8,,,,,,,,31
1963-64,24,TOT,NBA,,16,,,,,,10,13,,,,,,,41
1963-64,24,BAL,NBA,,4,,,,,,5,6,,,,,,,13
1963-64,24,NYK,NBA,,16,,,,,,10,13,,,,,,,41
1964-65,25,TOT,NBA,,3,,,,,,2,3,,,,,,,8
1964-65,25,STL,NBA,,3,7,,,,,2,3,,,5,1,,6,8
1964-65,25,LAL,NBA,,3,,,,,,1,3,,,,,,,6
1968-69,29,DNR,ABA,,16,,0,,,,9,12,,,,,,,39
1969-70,30,TOT,ABA,,14,,0,,,,9,10,,,,,,,31
1969-70,30,LAS,ABA,,13,,0,,,,9,10,,,,,,,28
1969-70,30,PTP,ABA,,14,,0,,,,4,9,,,,,,,31
1969-70,30,DLC,ABA,,6,,0,,,,4,7,,,,,,,14
Career,,,TOT,,16,,,,,,10,,,,,,,,41
,,,NBA,,16,,,,,,10,,,,,,,,41
,,,ABA,,16,,0,,,,9,12,,,,,,,39
,,,,,,,,,,,,,,,,,,,
1 Season,,DNR,ABA,,16,,0,,,,9,12,,,,,,,39
1 Season,,NYK,NBA,,16,,,,,,10,13,,,,,,,41
2 Seasons,,"BAL,CHZ",NBA,,14,,,,,,8,,,,,,,,31
1 Season,,LAS,ABA,,13,,0,,,,9,10,,,,,,,28
1 Season,,DLC,ABA,,6,,0,,,,4,7,,,,,,,14
1 Season,,STL,NBA,,3,7,,,,,2,3,,,5,1,,6,8
1 Season,,LAL,NBA,,3,,,,,,1,3,,,,,,,6
1 Season,,PTP,ABA,,14,,0,,,,4,9,,,,,,,31
