Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gerard King,,2.3,0.5,0.2,NA,NA
Ryan Kelly,86.2,2.2,0.7,0.1,0.1,NA
Larry Spriggs,85.7,2.6,0.5,0.3,0.1,0
J.J. Anderson,83.9,2.3,0.2,0.1,NA,NA
Sean May,82.3,2.2,0.4,0.3,-0.3,NA
Bernard Thompson,80.6,2.1,0.9,0.2,0.1,0
Alan Williams,80.3,2.1,0.2,0.2,0,NA
Jim Holstein,78.1,1.8,0.6,0.2,NA,NA
Bill Bunting,76.6,2,0.7,0,NA,NA
Joey Dorsey,75.9,1.9,0.8,0.1,0,NA
Jim Bradley,75.4,2.3,1.3,0.1,NA,NA
