,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1990-91,18,NICHOLLS,27,708,133,257,0,4,92,151,,182,23,40,35,78,101,358,.518,.000,.609,26.2,13.3,6.7,0.9
1991-92,19,NICHOLLS,28,708,137,274,0,1,98,153,,147,28,30,31,63,100,372,.500,.000,.641,25.3,13.3,5.3,1.0
1993-94,21,NICHOLLS,27,871,186,351,,,127,205,,239,54,61,26,67,96,499,.530,,.620,32.3,18.5,8.9,2.0
1994-95,22,NICHOLLS,28,860,238,423,1,1,128,182,,218,30,46,41,53,94,605,.563,1.000,.703,30.7,21.6,7.8,1.1
Career,,,110,3147,694,1305,1,6,445,691,,786,135,177,133,261,391,1834,.532,.167,.644,28.6,16.7,7.1,1.2
