Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Terry Dischinger,,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA,NA,NA,NA
Bob Boozer,90.5,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,NA,NA,NA
Gerald Wallace,87.5,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
Larry Kenon,86.6,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA,NA,NA,NA
Gordon Hayward,85.3,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0,NA,NA,NA,NA,NA
Kenny Sears,84.6,13.3,10,8.8,8,6.2,4,3.7,1.8,NA,NA,NA,NA,NA,NA
Red Robbins,83.4,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA,NA,NA,NA,NA
Calvin Natt,82.7,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0,NA,NA,NA
Bob Love,82.1,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2,NA,NA,NA
Sean Elliott,80.9,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3,1.5,1.4,1.4,0.5,NA,NA
Rodney McCray,80.8,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA,NA,NA,NA
