,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1962-63,22,CHZ,NBA,,15,,16,,,,6,37
1963-64,23,BAL,NBA,,14,,13,19,,,,37
1964-65,24,DET,NBA,,13,,11,14,,,,33
1967-68,27,DET,NBA,,17,,10,11,,,,39
1968-69,28,DET,NBA,,13,,6,7,,,,28
1969-70,29,DET,NBA,,13,,9,10,,,,29
1970-71,30,DET,NBA,,12,,7,9,,,,24
1971-72,31,DET,NBA,,9,,11,11,,,,23
1972-73,32,POR,NBA,,9,16,5,6,11,6,6,21
Career,,,,,17,,16,,,,,39
6 Seasons,,DET,NBA,,17,,11,14,,,,39
2 Seasons,,"BAL,CHZ",NBA,,15,,16,,,,,37
1 Season,,POR,NBA,,9,16,5,6,11,6,6,21
