Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Terry Dischinger,,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4
Bob Boozer,94.7,11.6,10.6,9.4,5.8,5.3,3.9,3.9,2.8,1.4
Kevin Willis,88.4,10.2,8.8,8.6,6,4.7,4.7,4.4,4.2,2.7
Richard Jefferson,88.1,11.7,11,9.9,7.6,6.6,6,4.7,3.4,2.4
Luol Deng,87.9,11.3,9.9,6.5,6.3,5.9,5.8,4.4,3,3
Nenê Hilário,87.6,10.8,9.6,9.3,6.1,5.3,5,3.2,0.3,-0.1
Detlef Schrempf,87.3,10.4,9.8,9,8.4,8.1,4.4,4,3.6,0.8
Tom Chambers,86.8,11.2,9.2,7.4,6.4,6.1,5.9,4.8,4.3,3.3
Ben Wallace,86.3,11.6,10.6,10.2,8.5,7,5.6,3.6,2.9,-0.2
Larry Kenon,85.9,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.2
Carlos Boozer,85.8,10.2,9.9,9.9,9.4,5.9,5.8,4.1,3.5,2.6
