Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1962-63,22,CHZ,NBA,SF,57,NA,2294,8.2,16.1,0.512,6.3,8.2,0.77,7.2,2.7,3,22.8
1963-64,23,BAL,NBA,SF,80,NA,2816,7.7,15.6,0.496,5.8,7.5,0.776,8.5,2,4.1,21.2
1964-65,24,DET,NBA,SG,80,NA,2698,7.6,15.4,0.493,4.3,5.7,0.755,6.4,2.6,3.4,19.4
1967-68,27,DET,NBA,SF,78,NA,1936,7.3,14.8,0.494,4.4,5.8,0.762,9,2.1,4.6,19.1
1968-69,28,DET,NBA,SF,75,NA,1456,6.5,12.7,0.515,3.2,4.4,0.73,8,2.3,5.7,16.3
1969-70,29,DET,NBA,SF,75,NA,1754,7,13.3,0.526,3.6,4.9,0.722,7.6,2.2,4.4,17.6
1970-71,30,DET,NBA,SF,65,NA,1855,5.9,11,0.535,3.1,4.1,0.763,6.6,2.2,3.7,14.9
1971-72,31,DET,NBA,SF,79,NA,2062,5.2,10,0.514,2.7,3.5,0.78,5.9,1.6,5,13
1972-73,32,POR,NBA,SF,63,NA,970,6,12.5,0.476,2.4,3.6,0.667,7.1,3.8,4.6,14.3
Career,NA,,NBA,,652,NA,17841,7,13.8,0.506,4.2,5.6,0.758,7.4,2.3,4.1,18.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,452,NA,11761,6.6,13,0.509,3.6,4.8,0.753,7.1,2.2,4.3,16.9
2 seasons,NA,"CHZ,BAL",NBA,,137,NA,5110,8,15.8,0.503,6,7.8,0.773,7.9,2.3,3.6,21.9
1 season,NA,POR,NBA,,63,NA,970,6,12.5,0.476,2.4,3.6,0.667,7.1,3.8,4.6,14.3
