Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ed Davis,,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7
Junior Bridgeman,96.1,6.7,6.1,5.5,5.1,4.8,4,3.6,2.6,2.1
Eddie Johnson,94.1,7.4,6.5,5.6,5.3,4.3,4,3.9,3,1.8
Keith Van Horn,94.1,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3
Purvis Short,93.9,6.2,6,5.7,5.4,5.2,5,3.7,2.6,2.2
Caron Butler,93.4,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.1,1.2
Wayman Tisdale,93.4,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,1.8
Cliff Levingston,93.0,7,6.1,5.5,5.5,5.3,4.7,3.4,2,1.3
Thaddeus Young,93.0,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1
Tom Gugliotta,92.6,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6
Juwan Howard,92.3,7,6,5.6,4.9,4.6,4.4,2.8,2.8,1.9
