Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Clem Haskins,,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA,NA
Kevin Porter,94.3,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA
Dee Brown,89.7,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1,0.8,0.3,0.2,-0.3
Ricky Rubio,88.9,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA,NA,NA
K.C. Jones,88.5,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA,NA,NA
Austin Carr,87.5,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA
Dave Twardzik,87.5,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA,NA,NA
D.J. Augustin,86.5,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA
Butch Beard,86.3,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA,NA
Steve Jones,85.9,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA,NA
Eddie Johnson,85.3,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
