,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,24,CHI,NBA,,12,,7,9,,,,,,,,28
1968-69,25,CHI,NBA,,12,24,10,12,,,12,12,,,5,30
1969-70,26,CHI,NBA,,16,30,11,13,,,13,21,,,5,38
1970-71,27,PHO,NBA,,14,27,10,14,,,10,10,,,6,32
1971-72,28,PHO,NBA,,14,22,8,11,,,10,,,,,31
1972-73,29,PHO,NBA,,13,20,6,8,,,6,9,,,6,28
1973-74,30,PHO,NBA,,15,21,8,10,4,6,9,9,3,,6,36
1974-75,31,WSB,NBA,,8,,6,6,,,,,,,,18
1975-76,32,WSB,NBA,,11,,6,7,,,,,,,,25
Career,,,,,16,,11,14,,,,,,,,38
4 Seasons,,PHO,NBA,,15,27,10,14,,,10,,,,,36
3 Seasons,,CHI,NBA,,16,,11,13,,,,,,,,38
2 Seasons,,WSB,NBA,,11,,6,7,,,,,,,,25
