Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Clem Haskins,,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1
Kevin Porter,94.7,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5
J.J. Redick,90.2,6.7,6.5,5.2,4.5,4.5,3,2.3,1.7,0.5
Dee Brown,90.0,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1,0.3
Ricky Rubio,88.9,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA
K.C. Jones,88.5,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8
Austin Carr,88.3,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1
Dave Twardzik,87.5,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA
Eric Snow,86.6,8.4,6.1,5.5,5.5,3.8,3.8,1.9,1.3,0.5
Eddie Johnson,86.5,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5
Butch Beard,86.3,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0
