Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Walter Simon,,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA
Harrison Barnes,91.5,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
P.J. Tucker,91.2,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
Marcus Morris,89.8,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2,NA,NA,NA
Roy Hinson,87.9,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA,NA
Phil Hubbard,87.3,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA
George Carter,87.1,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0,NA,NA,NA
Ken Norman,86.0,5.2,4.8,4,4,3.2,2.9,1.9,1.1,0.6,-0.6,NA
Mel Hutchins,85.6,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA
Kenny Thomas,84.8,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3
Gerald Govan,84.6,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1,NA,NA
