Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dave Twardzik,,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1
Austin Carr,91.2,5.9,5.4,5.3,5,3.4,2.9,2.6,1
Butch Beard,91.1,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5
Vinnie Johnson,89.5,7.7,5.9,4.8,4.7,4.2,4.1,2.7,0.2
Ricky Rubio,89.1,6.1,5.9,5.8,5.3,3.7,3,2,0.5
Kyle Korver,88.7,6.6,5.1,4.6,4.6,4.2,3.7,2.6,1
John Lucas,88.7,7.9,5.9,5.2,4.8,4.3,3.9,1.3,0.4
Clem Haskins,88.3,6.8,6.4,6.1,5.3,3.4,2.9,1.6,1
K.C. Jones,88.2,6.7,6.6,5.8,4.9,3.7,3.6,3,0.8
Al Attles,88.1,5.6,5.3,5.2,5.2,3.5,3.4,1.9,1.7
Mike Newlin,88.0,8.5,5.9,5.8,5.2,4.7,2.9,1.8,1.6
